LocationID,Locality,ScientificName,Family,Genus,SpecificEpithet,TaxonRank,Bird_MigrantStatus,Bird_SurveyTime,SourceID
391,Shanghai Chenshan Botanical Garden,"Tachybaptus ruficollis (Pallas, 1764)",Podicipedidae,Tachybaptus,ruficollis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Mesophoyx intermedia (Wagler, 1829)",Ardeidae,Mesophoyx,intermedia,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Egretta garzetta (Linnaeus, 1766)",Ardeidae,Egretta,garzetta,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Bubulcus ibis (Linnaeus, 1758)",Ardeidae,Bubulcus,ibis,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Ardeola bacchus (Bonaparte, 1855)",Ardeidae,Ardeola,bacchus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Nycticorax nycticorax (Linnaeus, 1758)",Ardeidae,Nycticorax,nycticorax,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Falco subbuteo (Linnaeus, 1758)",Falconidae,Falco,subbuteo,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Phasianus colchicus (Linnaeus, 1758)",Jacanidae,Phasianus,colchicus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Gallinula chloropus (Linnaeus, 1758)",Rallidae,Gallinula,chloropus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Actitis hypoleucos (Linnaeus, 1758)",Scolopacidae,Actitis,hypoleucos,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Streptopelia orientalis (Latham, 1790)",Columbidae,Streptopelia,orientalis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Stigmatopelia chinensis (Scopoli, 1768)",Columbidae,Stigmatopelia,chinensis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Alcedo atthis (Linnaeus, 1758)",Alcedinidae,Alcedo,atthis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Upupa epops (Linnaeus, 1758)",Upupidae,Upupa,epops,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Parus major (Linnaeus, 1758)",Paridae,Parus,major,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Hirundo rustica (Linnaeus, 1758)",Laridae,Hirundo,rustica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Hirundo daurica (Laxmann, 1769)",Laridae,Hirundo,daurica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Motacilla alba (Linnaeus, 1758)",Motacillidae,Motacilla,alba,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Anthus hodgsoni (Richmond, 1907)",Motacillidae,Anthus,hodgsoni,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Pycnonotus sinensis (Gmelin, 1789)",Pycnonotidae,Pycnonotus,sinensis,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Lanius schach (Linnaeus, 1758)",Laniidae,Lanius,schach,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Lanius cristatus (Linnaeus, 1758)",Laniidae,Lanius,cristatus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Oriolus chinensis (Linnaeus, 1766)",Oriolidae,Oriolus,chinensis,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Acridotheres cristatellus (Linnaeus, 1758)",Sturnidae,Acridotheres,cristatellus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Sturnus cineraceus (Temminck, 1835)",Sturnidae,Sturnus,cineraceus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Phoenicurus auroreus (Pallas, 1776)",Muscicapidae,Phoenicurus,auroreus,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Turdus merula (Linnaeus, 1758)",Turdidae,Turdus,merula,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Muscicapa dauurica (Pallas, 1811)",Muscicapidae,Muscicapa,dauurica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Muscicapa sibirica (Gmelin, 1789)",Muscicapidae,Muscicapa,sibirica,Species,M,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Paradoxornis webbianus (Gould, 1852)",Paradoxornithidae,Paradoxornis,webbianus,Species,R,Whole year,240
391,Shanghai Chenshan Botanical Garden,"Cisticola juncidis (Rafinesque, 1810)",Cisticolidae,Cisticola,juncidis,Species,R,Whole year,240
